city,lat,long,make,mileage,model,price,province,sepc,year
Campbell River,50.023071,-125.2441538,Ford,271532,Ford Escape,3995,British Columbia,Ford Escape XLS,2005
Calgary,51.02532675,-114.049868485806,Ford,209244,Ford Freestar,2888,Alberta,Ford Freestar SEL ,2005
Surrey,49.1913033,-122.8491439,Ford,101000,Ford Mustang,12995,British Columbia,Ford Mustang GT,2005
Vaughan,43.820904,-79.5084,Ford,94629,Ford Mustang,6948,Ontario,Ford Mustang 2Dr Convertible,2005
Halifax,44.8543667,-63.137798,Ford,196067,Ford F-250,7000,Nova Scotia,Ford F-250,2005
North York,43.7708175,-79.4132998,Ford,322813,Ford Expedition,2800,Ontario,Ford Expedition Limited,2005
Richmond,49.163168,-123.137414,Ford,225000,Ford Escape,495,British Columbia,Ford Escape Limited 4Dr 4WD,2005
Brantford,43.1554354,-80.2665916,Ford,22706,Ford Mustang,16888,Ontario,Ford Mustang GT ,2005
Kingston,44.3054151,-76.4283781,Ford,267841,Ford F-150,1700,Ontario,Ford F-150 XLT,2005
Surrey,49.1913033,-122.8491439,Ford,150000,Ford Freestyle,7941,British Columbia,Ford Freestyle LIMITED,2005
Kingston,44.3054151,-76.4283781,Ford,209840,Ford F-150,2995,Ontario,Ford F-150 V8,2005
Edmonton,53.535411,-113.507996,Ford,186436,Ford Focus,6000,Alberta,Ford Focus SES ,2005
Brantford,43.1554354,-80.2665916,Ford,39015,Ford Taurus,5888,Ontario,Ford Taurus SE ,2005
Aurora,43.99973,-79.467545,Ford,282892,Ford F-350,5820,Ontario,Ford F-350,2005
Surrey,49.1913033,-122.8491439,Ford,248000,Ford Freestar,3995,British Columbia,Ford Freestar SE,2005
Victoria,48.4283182,-123.3649533,Ford,141810,Ford Focus,4995,British Columbia,Ford Focus ZX5 SES- AC Heated Seats Life Time ,2006
Camrose,53.013131,-112.840576,Ford,179592,Ford F-150,9999,Alberta,Ford F-150 XLT 4WD With Running Boards,2006
Brampton,43.6858146,-79.7599337,Ford,152450,Ford Fusion,1995,Ontario,Ford Fusion SE,2006
Sherbrooke,45.403271,-71.889038,Ford,170100,Ford F-150,9995,Québec,Ford F-150 FX4 4X4,2006
Burnaby,49.2433804,-122.9725459,Ford,223994,Ford Escape,5500,British Columbia,Ford Escape XLT,2006
St-Esprit,45.898371,-73.666077,Ford,246000,Ford F-150,4999,Québec,Ford F-150 King Ranch,2006
Edmonton,53.535411,-113.507996,Ford,136334,Ford Crown,5995,Alberta,Ford Crown Victoria LX,2006
Mississauga,43.590338,-79.645729,Ford,287578,Ford Escape,2745,Ontario,Ford Escape Limited - 4WD ,2006
Mcmasterville,45.5492232,-73.2302916,Ford,139231,Ford Mustang,5999,Québec,Ford Mustang V6,2006
Edmonton,53.535411,-113.507996,Ford,58388,Ford F-150,19888,Alberta,Ford F-150 GTR Supercab  Automatic,2006
Kitchener,43.453168,-80.494423,Ford,156790,Ford F-150,7492,Ontario,Ford F-150 STX SuperCab Flareside 2WD,2006
Lethbridge,49.694285,-112.851562,Ford,159427,Ford F-150,7490,Alberta,Ford F-150 XL XL - ONE OWNER - CLEAN CARFAX,2006
Fort Macleod,49.7257568,-113.4053475,Ford,149775,Ford Explorer,8998,Alberta,Ford Explorer 2006 Ford Explorer - 4dr 4.0L Eddie Bauer 4WD,2006
Granby,45.3990409,-72.721834,Ford,177000,Ford F-150,6995,Québec,Ford F-150 XLT 4X4 SuperCrew Cab,2006
Ottawa,45.421106,-75.690308,Ford,122967,Ford F-350,18999,Ontario,Ford F-350 Lariat DIESEL ,2006
Beauport,46.8594456,-71.1932496,Ford,134440,Ford Mustang,10987,Québec Québec,Ford Mustang V6,2006
Scarborough,43.773077,-79.257774,Ford,173500,Ford Fusion,3124,Ontario,Ford Fusion Premier Pre-Owned Sale: October 21-26 only!,2006
Edmonton,53.535411,-113.507996,Ford,237000,Ford Explorer,7000,Alberta,Ford Explorer XLT,2006
Aylmer,42.773227,-80.983658,Ford,262000,Ford F-150,7995,Ontario,Ford F-150 XLT! CREW!,2006
Guelph,43.533783,-80.2306337,Ford,140596,Ford Mustang,12444,Ontario,Ford Mustang GT Convertible,2006
Vancouver,49.2608724,-123.1139529,Ford,136810,Ford Escape,7780,British Columbia,Ford Escape XLT,2006
Thornhill,43.8161477,-79.4245925,Ford,2796,Ford GT,458888,Ontario,Ford GT GT 4 Options ,2006
Kelowna,49.889326,-119.498291,Ford,2977,Ford GT,399990,British Columbia,Ford GT,2006
Gatineau,45.457241,-75.723267,Ford,137107,Ford F-150,7888,Québec,Ford F-150 AS-IS 4x4 - POWER GROUP A,2006
Mississauga,43.590338,-79.645729,Ford,205245,Ford Explorer,3745,Ontario,Ford Explorer Eddie Bauer - 4WD  V8 ,2006
Campbell River,50.023071,-125.2441538,Ford,185326,Ford F-150,11995,British Columbia,Ford F-150 XLT,2007
North York,43.7708175,-79.4132998,Ford,183908,Ford Escape,5580,Ontario,Ford Escape XLT Leather Alloy  Heated Seat FWD,2007
Calgary,51.02532675,-114.049868485806,Ford,18774,Ford Mustang,32900,Alberta,Ford Mustang Shelby GT500 Coupe,2007
Calgary,51.02532675,-114.049868485806,Ford,203734,Ford F-350,18888,Alberta,Ford F-350 Harley Davidson ,2007
Châteauguay,45.3619066,-73.7524319,Ford,110268,Ford Mustang,13989,Québec,Ford Mustang GT Premium,2007
Mississauga,43.590338,-79.645729,Ford,156417,Ford Edge,7745,Ontario,Ford Edge SEL - AWD,2007
Burlington,43.3248924,-79.7966835,Ford,10584,Ford Mustang,24988,Ontario,Ford Mustang GT,2007
New Westminster,49.205728,-122.9108651,Ford,113832,Ford Ranger,10995,British Columbia,Ford Ranger Sport RWD,2007
Windsor,42.30423,-83.029861,Ford,168341,Ford Mustang,7500,Ontario,Ford Mustang Annual Clearance Sale!,2007
Thetford Mines,46.091329,-71.30127,Ford,155925,Ford Ranger,5995,Québec,Ford Ranger 2007 Ford Ranger - 2WD SuperCab 126  XLT,2007
Edmonton,53.535411,-113.507996,Ford,200968,Ford F-150,10988,Alberta,Ford F-150 4WD SUPERCREW XLT Accident Free,2007
Windsor,42.30423,-83.029861,Ford,137607,Ford Ranger,9999,Ontario,Ford Ranger Sport Annual Clearance Sale!,2007
Scarborough,43.773077,-79.257774,Ford,211021,Ford Explorer,7995,Ontario,Ford Explorer Sport Trac Limited,2007
Calgary,51.02532675,-114.049868485806,Ford,74480,Ford F-350,19995,Alberta,Ford F-350 XLT,2007
Surrey,49.1913033,-122.8491439,Ford,243898,Ford F-150,8995,British Columbia,Ford F-150 XLT,2007
Gatineau,45.457241,-75.723267,Ford,211707,Ford Fusion,1500,Québec,Ford Fusion SEL 3.0L V6,2007
Coquitlam,49.2842958,-122.793281,Ford,144549,Ford Mustang,11887,British Columbia,Ford Mustang GT,2007
North Bay,46.3092115,-79.4607617,Ford,188350,Ford Explorer,6500,Ontario,Ford Explorer Sport Trac Being Sold As Is Where Is!,2007
London,42.9537654,-81.2291529,Ford,242922,Ford F-150,6495,Ontario,Ford F-150 XLT ,2007
Calgary,51.02532675,-114.049868485806,Ford,75050,Ford F-150,19995,Alberta,Ford F-150 LARIAT CREW CAB 4X4 ,2007
Windsor,42.30423,-83.029861,Ford,157067,Ford Mustang,5999,Ontario,Ford Mustang Annual Clearance Sale!,2007
Edmonton,53.535411,-113.507996,Ford,227314,Ford Edge,7000,Alberta,Ford Edge SEL ,2007
Mississauga,43.590338,-79.645729,Ford,327004,Ford F-150,2245,Ontario,Ford F-150 XLT - Super Cab ,2007
Blainville,45.67932,-73.87619,Ford,149837,Ford F-150,10995,Québec,Ford F-150 2007 Ford F-150 - 4WD SuperCrew 150  XLT,2007
Surrey,49.1913033,-122.8491439,Ford,162000,Ford Focus,5995,British Columbia,Ford Focus SES,2007
St-Esprit,45.898371,-73.666077,Ford,28000,Ford Mustang,35999,Québec,Ford Mustang Shelby GT500 supercharged,2007
Unionville,43.8686533,-79.3119155,Ford,138803,Ford Mustang,6995,Ontario,Ford Mustang V6,2007
Waterloo,43.466874,-80.524635,Ford,193570,Ford Edge,7995,Ontario,Ford Edge,2007
Aylmer,42.773227,-80.983658,Ford,172000,Ford Ranger,7995,Ontario,Ford Ranger SXT! SUPERCAB!,2007
Salaberry-De-Valleyfield,45.2555625,-74.1316153,Ford,87000,Ford F-150,10999,Québec,Ford F-150 5.4,2007
Essex,42.2354142,-82.7120106,Ford,162478,Ford Edge,6995,Ontario,Ford Edge SE- SOLD AS IS,2007
Ottawa,45.421106,-75.690308,Ford,221764,Ford Explorer,950,Ontario,Ford Explorer XLT - AS IS - FOR PARTS,2007
St-Esprit,45.898371,-73.666077,Ford,85000,Ford Freestyle,5999,Québec,Ford Freestyle Limited 4x4 cuir toit 6 places bas kilo,2007
Calgary,51.02532675,-114.049868485806,Ford,207441,Ford Edge,8500,Alberta,Ford Edge SEL Plus One Owner - Leather Seats,2007
Saint-Laurent,45.5032702,-73.7254477,Ford,58035,Ford Focus,5495,Québec,Ford Focus SE,2007
St Thomas,42.7792897,-81.1832518,Ford,199634,Ford F-150,5000,Ontario,Ford F-150 FX4 4x4 AS IS,2007
Scarborough,43.773077,-79.257774,Ford,186074,Ford Fusion,3995,Ontario,Ford Fusion SEL,2007
Saint-Hyacinthe,45.627484,-72.940636,Ford,118425,Ford F-150,12344,Québec,Ford F-150 XLT ,2007
Windsor,42.30423,-83.029861,Ford,247347,Ford Focus,3400,Ontario,Ford Focus SE Annual Clearance Sale!,2007
Brampton,43.6858146,-79.7599337,Ford,186578,Ford Focus,2995,Ontario,Ford Focus S,2007
Kingston,44.3054151,-76.4283781,Ford,123458,Ford Freestyle,4995,Ontario,Ford Freestyle SEL,2007
Ridgetown,42.4392133,-81.8870707,Ford,183183,Ford Focus,4500,Ontario,Ford Focus,2007
Windsor,42.30423,-83.029861,Ford,139079,Ford Fusion,5500,Ontario,Ford Fusion SEL Annual Clearance Sale!,2007
London,42.9537654,-81.2291529,Ford,214867,Ford Explorer,5500,Ontario,Ford Explorer Eddie Bauer,2007
Saint John,45.278752,-66.058044,Ford,122000,Ford Fusion,2700,New Brunswick,Ford Fusion FUSION SE - As Traded!,2007
Mississauga,43.590338,-79.645729,Ford,258925,Ford Edge,4245,Ontario,Ford Edge SEL - LTHR ,2007
Surrey,49.1913033,-122.8491439,Ford,174300,Ford Ranger,8995,British Columbia,Ford Ranger Sport,2007
Mississauga,43.590338,-79.645729,Ford,219932,Ford Escape,2745,Ontario,Ford Escape XLT - V6 ,2007
Kitchener,43.453168,-80.494423,Ford,278825,Ford Ranger,4500,Ontario,Ford Ranger 4.0L V6,2008
Toronto,43.653963,-79.387207,Ford,206243,Ford Edge,7999,Ontario,Ford Edge LIMITED MODEL,2008
Surrey,49.1913033,-122.8491439,Ford,138275,Ford F-150,13463,British Columbia,Ford F-150 XLT WHOLESALE DIRECT,2008
Burlington,43.3248924,-79.7966835,Ford,205689,Ford Escape,4988,Ontario,Ford Escape XLT 3.0L,2008
Welland,42.993097,-79.250565,Ford,177997,Ford Fusion,4987,Ontario,Ford Fusion SEL,2008
St-Esprit,45.898371,-73.666077,Ford,96560,Ford F-150,11999,Québec,Ford F-150 xlt. step side,2008
St-Esprit,45.898371,-73.666077,Ford,265000,Ford F-350,11999,Québec,Ford F-350 XLT crew  diesel,2008
Toronto,43.653963,-79.387207,Ford,295277,Ford F-150,7999,Ontario,Ford F-150 SUPER CREW,2008
Edmonton,53.535411,-113.507996,Ford,140892,Ford F-150,13999,Alberta,Ford F-150 4WD SUPERCREW FX4 Accident Free,2008
Aylmer,42.773227,-80.983658,Ford,178000,Ford Fusion,4995,Ontario,Ford Fusion 5-SPEED MANUAL! POWER DRIVERS SEAT! SUNROOF!,2008
Boisbriand,45.6130352,-73.8386827,Ford,235000,Ford Escape,1904,Québec,Ford Escape 4x4 V6 XLT,2008
Edmonton,53.535411,-113.507996,Ford,212931,Ford F-150,14000,Alberta,Ford F-150 XLT ,2008
Milton,43.513671,-79.882817,Ford,136868,Ford Ranger,12495,Ontario,Ford Ranger FX4 Off-Road SuperCab 4 Door CERTIFIED 2008 Ford R,2008
Edmonton,53.535411,-113.507996,Ford,184452,Ford Edge,10000,Alberta,Ford Edge Limited ,2008
Kelowna,49.889326,-119.498291,Ford,800,Ford Mustang,54990,British Columbia,Ford Mustang Shelby GT500,2008
Edmonton,53.535411,-113.507996,Ford,173000,Ford Escape,6850,Alberta,Ford Escape 2008 Ford Escape - 4WD 4dr V6 XLT,2008
Mississauga,43.590338,-79.645729,Ford,276447,Ford Escape,1745,Ontario,Ford Escape XLT - V6 4WD ,2008
Toronto,43.653963,-79.387207,Ford,251818,Ford Fusion,1699,Ontario,Ford Fusion SE-as is-uncertified,2008
Brantford,43.1554354,-80.2665916,Ford,206612,Ford Escape,2995,Ontario,Ford Escape XLT 4X4,2008
Stratford,46.2189935,-63.0876534061131,Ford,206612,Ford Escape,2995,Prince Edward Island,Ford Escape XLT 4X4,2008
Windsor,42.30423,-83.029861,Ford,206612,Ford Escape,2995,Ontario,Ford Escape XLT 4X4,2008
Coquitlam,49.2842958,-122.793281,Ford,163258,Ford F-350,25895,British Columbia,Ford F-350,2008
Sherbrooke,45.403271,-71.889038,Ford,120680,Ford Edge,7495,Québec,Ford Edge Limited AWD - Toit Panoramique - Cuir,2008
Lasalle,45.4325141,-73.6292667,Ford,161164,Ford Ranger,7497,Québec,Ford Ranger SPORT,2008
London,42.9537654,-81.2291529,Ford,324848,Ford F-150,7499,Ontario,Ford F-150 XLT SuperCrew-Remote Start-A,2008
Scarborough,43.773077,-79.257774,Ford,340414,Ford F-150,3795,Ontario,Ford F-150 XLT,2008
Edmonton,53.535411,-113.507996,Ford,247338,Ford Edge,7500,Alberta,Ford Edge Limited ,2008
Olds,51.7923735,-114.1130367,Ford,215438,Ford F-350,16900,Alberta,Ford F-350 FX4 Super Crew 4X4,2008
High River,50.5797079,-113.8569213,Ford,87000,Ford F-350,24850,Alberta,Ford F-350 - Low Mileage,2008
