city,lat,long,make,mileage,model,price,province,sepc,year
Burlington,43.3248924,-79.7966835,Audi,60479,Audi A5,24988.0,Ontario,Audi A5 2.0T Technik,2015
Edmonton,53.535411,-113.507996,Audi,82131,Audi S4,34900.0,Alberta,Audi S4 3.0T Progressiv Quattro 6sp,2015
Windsor,42.30423,-83.029861,Audi,112253,Audi A3,16999.0,Ontario,Audi A3 2.0T Progressiv,2015
North York,43.7708175,-79.4132998,Audi,72000,Audi Q7,34888.0,Ontario,Audi Q7 SPORT,2015
Mississauga,43.590338,-79.645729,Audi,49251,Audi S4,34888.0,Ontario,Audi S4 3.0T Technik,2015
Sherwood Park,53.5256963,-113.2966313,Audi,59376,Audi SQ5,34988.0,Alberta,Audi SQ5 3.0T Technik Quattro,2015
Laval,45.60558895,-73.7344173056906,Audi,87985,Audi A4,24995.0,Québec,Audi A4 allroad KOMFORT COMMODITÉS,2015
Toronto,43.653963,-79.387207,Audi,106033,Audi Q3,21888.0,Ontario,Audi Q3 2.0T QUATTRO,2015
North York,43.7708175,-79.4132998,Audi,53766,Audi A6,34800.0,Ontario,Audi A6 3.0 TDI QUATTRO TECHNIK,2015
Vancouver,49.2608724,-123.1139529,Audi,55509,Audi Q7,33887.0,British Columbia,Audi Q7,2015
North York,43.7708175,-79.4132998,Audi,89000,Audi Q7,33888.0,Ontario,Audi Q7 TDI,2015
Vancouver,49.2608724,-123.1139529,Audi,99981,Audi Q7,33888.0,British Columbia,Audi Q7 quattro,2015
Vancouver,49.2608724,-123.1139529,Audi,51925,Audi Q5,33888.0,British Columbia,Audi Q5 2.0T Technik,2015
North York,43.7708175,-79.4132998,Audi,99000,Audi Q7,33888.0,Ontario,Audi Q7 SPORT,2015
Calgary,51.02532675,-114.049868485806,Audi,82601,Audi Q5,25900.0,Alberta,Audi Q5 2.0T Komfort,2015
Toronto,43.653963,-79.387207,Audi,61000,Audi A4,21650.0,Ontario,Audi A4 Komfort plus,2015
Newmarket,44.056258,-79.461708,Audi,93655,Audi Q7,33895.0,Ontario,Audi Q7  VORSPRUNG ,2015
Winnipeg,49.884017,-97.168579,Audi,93898,Audi Q5,25887.0,Manitoba,Audi Q5 2.0T Technik NO ACCIDENTS BLUETOOTH HEATED FRONT A,2015
North York,43.7708175,-79.4132998,Audi,111353,Audi A6,21800.0,Ontario,Audi A6 2.0T QUATTRO TECHNIK,2015
Toronto,43.653963,-79.387207,Audi,94926,Audi Q5,25888.0,Ontario,Audi Q5 BANG&OLUFSEN S,2015
Edmonton,53.535411,-113.507996,Audi,58669,Audi S4,33800.0,Alberta,Audi S4 3.0T Progressiv Quattro 7sp S Tronic,2015
Mississauga,43.590338,-79.645729,Audi,43534,Audi Q3,25995.0,Ontario,Audi Q3 2.0T Technik,2015
Boucherville,45.6050197,-73.4526144,Audi,93000,Audi Q5,25995.0,Québec,Audi Q5 2.0T Technik S-LINE AWD GPS TOIT PANO,2015
Calgary,51.02532675,-114.049868485806,Audi,63997,Audi A4,25995.0,Alberta,Audi A4 2.0T TECKNIK  S-LINE PKG ,2015
Calgary,51.02532675,-114.049868485806,Audi,49994,Audi Q3,25995.0,Alberta,Audi Q3 2.0T AWD TECKNIK ,2015
St-Jérôme,45.775426,-74.013176,Audi,64700,Audi A3,21499.0,Québec,Audi A3 KOMFORT QUATTRO,2015
Charlemagne,45.72551965,-73.4896922220162,Audi,89596,Audi A3,21499.0,Québec,Audi A3 1.8T Progressiv S-Line Automatique,2015
Greenfield Park,45.4926624,-73.4870499,Audi,42699,Audi Q5,39369.0,Québec,Audi Q5 3.0T Technik,2015
North York,43.7708175,-79.4132998,Audi,53839,Audi S5,33800.0,Ontario,Audi S5 3.0T quattro Technik,2015
Milton,43.513671,-79.882817,Audi,48557,Audi A3,17995.0,Ontario,Audi A3 1.8T KOMFORT,2015
Montréal,45.4972159,-73.6103642,Audi,68000,Audi A3,25995.0,Québec,Audi A3 Komfort REGULATEUR DE VITESSE ,2015
Markham,43.854336,-79.326782,Audi,55945,Audi S4,33599.0,Ontario,Audi S4 Progressiv W,2015
Burnaby,49.2433804,-122.9725459,Audi,54000,Audi A3,25800.0,British Columbia,Audi A3 2.0T Technik,2015
Laval,45.60558895,-73.7344173056906,Audi,69135,Audi A4,25295.0,Québec,Audi A4 PROGRESSIV PLUS CAMERA NAVIGATION,2015
Laval,45.60558895,-73.7344173056906,Audi,69885,Audi A4,25295.0,Québec,Audi A4 PROGRESSIV PLUS CAMERA,2015
St-Jérôme,45.775426,-74.013176,Audi,42044,Audi A4,21896.0,Québec,Audi A4 Komfort plus,2015
Ottawa,45.421106,-75.690308,Audi,72700,Audi A4,21897.0,Ontario,Audi A4 2.0 T QUATTRO S-LINE,2015
North York,43.7708175,-79.4132998,Audi,69000,Audi Q7,38988.0,Ontario,Audi Q7 TDI,2015
Edmonton,53.535411,-113.507996,Audi,72947,Audi A4,24999.0,Alberta,Audi A4 2.0T Technik Plus Quattro 8sp Tiptronic,2015
Ottawa,45.421106,-75.690308,Audi,61237,Audi A4,24999.0,Ontario,Audi A4 2.0T Progressiv ONE OWNER ,2015
Ottawa,45.421106,-75.690308,Audi,96463,Audi Q5,24999.0,Ontario,Audi Q5 2.0T Progressiv AWD ,2015
Ottawa,45.421106,-75.690308,Audi,42965,Audi A5,21900.0,Ontario,Audi A5 QUATTRO COUPE-LEATHER-MOONROOF-42K,2015
Vaughan,43.820904,-79.5084,Audi,76098,Audi Q7,34698.0,Ontario,Audi Q7 3.0 TDI Progressiv quattro 8sp Tiptronic,2015
Montréal,45.4972159,-73.6103642,Audi,67612,Audi A4,24998.0,Québec,Audi A4 TECHNIK PLUS,2015
Toronto,43.653963,-79.387207,Audi,84000,Audi Q7,34500.0,Ontario,Audi Q7 3.0 TDI Vorsprung Ed. Quattro 8sp Tiptronic Vorspr,2015
Markham,43.854336,-79.326782,Audi,41766,Audi A3,24999.0,Ontario,Audi A3 2.0T Progressiv W,2015
Edmonton,53.535411,-113.507996,Audi,98346,Audi A4,24999.0,Alberta,Audi A4 AWD PROGRESSIV Navigation ,2015
Ottawa,45.421106,-75.690308,Audi,71206,Audi A4,24999.0,Ontario,Audi A4 allroad 2.0T Komfort QUATTRO WAGON ,2015
North York,43.7708175,-79.4132998,Audi,60000,Audi Q7,38899.0,Ontario,Audi Q7 TDI,2015
Toronto,43.653963,-79.387207,Audi,100000,Audi A4,14995.0,Ontario,Audi A4 KOMFORT PLUS AWD LEATHER,2015
Dollard-Des Ormeaux,45.48423,-73.8064547,Audi,52700,Audi Q5,33995.0,Québec,Audi Q5 TDI PROGRESSIV TOIT PANORAMIQUE,2015
Dartmouth,44.6799707,-63.5720232,Audi,144503,Audi A3,17900.0,Nova Scotia,Audi A3 2.0 TDI Komfort,2015
New Westminster,49.205728,-122.9108651,Audi,54054,Audi A4,21800.0,British Columbia,Audi A4 Quattro S-Line Sunroof Leather Heated Seats,2015
St-Bruno,48.4719308,-71.653028,Audi,33082,Audi A3,21800.0,Québec,Audi A3 PROGRESSIV ,2015
Calgary,51.02532675,-114.049868485806,Audi,32758,Audi A4,33995.0,Alberta,Audi A4 allroad 2.0T TECNIK DRIVE SELECT ,2015
Edmonton,53.535411,-113.507996,Audi,75807,Audi Q5,33990.0,Alberta,Audi Q5 3.0T Technik Quattro.....3.0 TDI FLAWLESS - One ow,2015
Woodbridge,43.7848982,-79.5923855,Audi,73000,Audi A6,33988.0,Ontario,Audi A6 3.0T,2015
Markham,43.854336,-79.326782,Audi,46456,Audi A5,25688.0,Ontario,Audi A5 2.0T S-LINE,2015
Winnipeg,49.884017,-97.168579,Audi,102330,Audi Q7,33986.0,Manitoba,Audi Q7 Sport,2015
Midland,44.750147,-79.885712,Audi,85236,Audi Q5,25749.0,Ontario,Audi Q5 Premium Navi Leather Sunroof,2015
Scarborough,43.773077,-79.257774,Audi,44000,Audi A5,25799.0,Ontario,Audi A5 S-LINE,2015
Toronto,43.653963,-79.387207,Audi,87000,Audi Q3,25450.0,Ontario,Audi Q3 Technik,2015
Mirabel,45.623402,-74.012489,Audi,65049,Audi A4,25477.0,Québec,Audi A4 allroad 2.0T ALL ROAD QUATTRO CUIR TOIT PANO ,2015
