city,lat,long,make,mileage,model,price,province,sepc,year
St-Jérôme,45.775426,-74.013176,Kia,127771,Kia Soul,7495,Québec,Kia Soul 2.0L 4u AUTO TOIT MAG A,2011
Hamilton,43.2425289,-79.9470423,Kia,157810,Kia Forte,6999,Ontario,Kia Forte EX w-Sunroof,2011
Listowel,43.731593,-80.952882,Kia,123415,Kia Forte,6999,Ontario,Kia Forte 2.0L EX,2011
Brossard,45.4554829,-73.4678904,Kia,95000,Kia Optima,9995,Québec,Kia Optima EX LUXURY,2011
Gloucester,47.6138405,-65.2210757,Kia,111003,Kia Sorento,9980,New Brunswick,Kia Sorento AWD 4dr EX AS-IS,2011
Montreal,45.4972159,-73.6103642,Kia,77568,Kia Optima,9977,Québec,Kia Optima EX LUXURY 2011 Kia Optima EX LUXURY,2011
Sherwood Park,53.5256963,-113.2966313,Kia,145843,Kia Sorento,11988,Alberta,Kia Sorento AWD EX 7 PASSENGER Accident Free,2011
Laval,45.60558895,-73.7344173056906,Kia,130148,Kia Sorento,6995,Québec,Kia Sorento Base,2011
Oakville,43.447436,-79.666672,Kia,118866,Kia Sorento,9950,Ontario,Kia Sorento LX V6 ,2011
Winnipeg,49.884017,-97.168579,Kia,106000,Kia Soul,9800,Manitoba,Kia Soul 4U w,2011
Boucherville,45.6050197,-73.4526144,Kia,46622,Kia Optima,9995,Québec,Kia Optima EX BLUETOOTH AIR CLIMATISÉ AUTOMATIQUE,2011
Waterloo,43.466874,-80.524635,Kia,86739,Kia Forte,7499,Ontario,Kia Forte 2.0 EX ,2011
St-Hubert,46.501891,-64.025032,Kia,72651,Kia Soul,7484,Prince Edward Island,Kia Soul 2U - MANUEL - A,2011
Oshawa,43.91768,-78.862953,Kia,162544,Kia Rondo,9888,Ontario,Kia Rondo RONDO,2011
New Westminster,49.205728,-122.9108651,Kia,109905,Kia Sportage,9995,British Columbia,Kia Sportage LX,2011
Brossard,45.4554829,-73.4678904,Kia,93251,Kia Forte,7399,Québec,Kia Forte LX air climatisé ,2011
Charlesbourg,46.8958611,-71.2910300583245,Kia,134723,Kia Rondo,7450,Québec,Kia Rondo EX,2011
Fort Saskatchewan,53.712965,-113.214111,Kia,121100,Kia Sportage,12995,Alberta,Kia Sportage LX AWD Heated Seats Bluetooth,2011
Ottawa,45.421106,-75.690308,Kia,140875,Kia Sportage,10888,Ontario,Kia Sportage EX,2011
Québec,52.4760892,-71.8258668,Kia,62334,Kia Soul,8787,Québec,Kia Soul ,2011
